date,1. open,2. high,3. low,4. close,5. volume
2024-08-08 09:00:00,160.96,161.825,158.975,161.0,11718.0
2024-08-08 08:45:00,161.02,161.28,160.67,160.91,27672.0
2024-08-08 08:30:00,159.63,161.36,159.63,161.19,56676.0
2024-08-08 08:15:00,159.56,159.88,159.308,159.308,10544.0
2024-08-08 08:00:00,158.668,160.18,158.361,159.56,15159.0
2024-08-08 07:45:00,159.17,159.45,159.17,159.4,2564.0
2024-08-08 07:30:00,159.08,159.27,159.0,159.19,1194.0
2024-08-08 07:15:00,159.25,159.37,159.07,159.12,1058.0
2024-08-08 07:00:00,159.16,159.37,158.78,159.25,6619.0
2024-08-08 06:45:00,159.25,159.44,159.1,159.25,1219.0
2024-08-08 06:30:00,159.26,159.34,159.12,159.23,703.0
2024-08-08 06:15:00,159.15,159.38,159.08,159.25,2396.0
2024-08-08 06:00:00,159.32,159.32,158.95,159.25,4906.0
2024-08-08 05:45:00,159.53,159.53,158.77,159.09,3262.0
2024-08-08 05:30:00,159.37,159.62,159.3,159.5,672.0
2024-08-08 05:15:00,159.6,159.7,159.31,159.48,1921.0
2024-08-08 05:00:00,159.62,159.87,159.6,159.64,2531.0
2024-08-08 04:45:00,159.63,159.81,159.51,159.62,2637.0
2024-08-08 04:30:00,158.8,159.5,158.78,159.5,2579.0
2024-08-08 04:15:00,159.19,159.19,158.81,158.89,3122.0
2024-08-08 04:00:00,158.7,159.28,158.02,158.97,7371.0
2024-08-07 19:45:00,156.75,158.56,156.444,157.287,7421.0
2024-08-07 19:30:00,157.31,157.493,156.32,156.4,12834.0
2024-08-07 19:15:00,158.2,158.23,157.1,157.2,10853.0
2024-08-07 19:00:00,158.499,158.5,157.91,158.23,1453.0
2024-08-07 18:45:00,158.5,158.5,158.0,158.15,1453.0
2024-08-07 18:30:00,158.39,158.79,158.03,158.3,2965.0
2024-08-07 18:15:00,158.17,158.5,157.75,158.2,3431.0
2024-08-07 18:00:00,157.73,158.57,157.71,158.01,4865.0
2024-08-07 17:45:00,157.999,158.05,157.55,157.65,4292.0
2024-08-07 17:30:00,157.98,158.47,157.75,157.81,1302.0
2024-08-07 17:15:00,157.65,158.94,157.5,158.47,76720.0
2024-08-07 17:00:00,162.389,162.389,150.549,157.65,8690.0
2024-08-07 16:45:00,158.03,162.995,147.003,157.93,20038.0
2024-08-07 16:30:00,158.38,158.94,158.0,158.03,79370.0
2024-08-07 16:15:00,158.94,158.97,158.12,158.48,13274.0
2024-08-07 16:00:00,158.93,159.04,158.3,158.91,6717650.0
2024-08-07 15:45:00,159.535,159.83,158.56,158.93,1924794.0
2024-08-07 15:30:00,159.58,160.05,159.29,159.531,755339.0
2024-08-07 15:15:00,159.58,160.08,159.37,159.6,597859.0
2024-08-07 15:00:00,159.34,160.07,159.19,159.59,670384.0
2024-08-07 14:45:00,159.1,159.43,158.78,159.32,536554.0
2024-08-07 14:30:00,159.02,159.265,158.56,159.11,499023.0
2024-08-07 14:15:00,158.63,159.14,158.48,159.04,551367.0
2024-08-07 14:00:00,158.91,159.03,158.47,158.61,601546.0
2024-08-07 13:45:00,159.52,159.66,158.75,158.95,646806.0
2024-08-07 13:30:00,159.29,159.975,159.27,159.52,481688.0
2024-08-07 13:15:00,159.6,159.645,158.84,159.295,873148.0
2024-08-07 13:00:00,160.01,160.19,159.42,159.62,469846.0
2024-08-07 12:45:00,160.75,160.9,160.02,160.025,555665.0
2024-08-07 12:30:00,160.95,161.19,160.71,160.73,403199.0
2024-08-07 12:15:00,160.72,161.155,160.45,160.975,559174.0
2024-08-07 12:00:00,161.03,161.06,160.14,160.74,718938.0
2024-08-07 11:45:00,160.34,161.06,160.07,161.02,575612.0
2024-08-07 11:30:00,161.185,161.26,160.33,160.36,639580.0
2024-08-07 11:15:00,161.26,161.42,161.0,161.19,650080.0
2024-08-07 11:00:00,162.15,162.19,161.14,161.27,779508.0
2024-08-07 10:45:00,162.4,162.98,161.83,162.15,799183.0
2024-08-07 10:30:00,162.09,162.51,161.72,162.37,739565.0
2024-08-07 10:15:00,162.12,162.43,161.81,162.065,821831.0
2024-08-07 10:00:00,161.5,162.225,161.1,162.13,935532.0
2024-08-07 09:45:00,161.3,161.5,160.87,161.49,977968.0
2024-08-07 09:30:00,161.25,162.19,160.46,161.287,2451670.0
2024-08-07 09:15:00,161.05,161.56,160.92,161.2,64259.0
2024-08-07 09:00:00,161.38,161.5,157.115,161.0,25279.0
2024-08-07 08:45:00,160.95,161.88,160.77,161.26,23835.0
2024-08-07 08:30:00,160.57,161.01,160.55,160.96,38664.0
2024-08-07 08:15:00,160.86,160.94,160.49,160.56,25622.0
2024-08-07 08:00:00,159.44,185.24,157.895,160.83,57526.0
2024-08-07 07:45:00,160.91,160.92,160.41,160.47,8882.0
2024-08-07 07:30:00,161.32,161.32,160.84,160.92,12977.0
2024-08-07 07:15:00,161.24,161.61,161.09,161.3,7908.0
2024-08-07 07:00:00,161.22,161.4,160.9,161.28,15507.0
2024-08-07 06:45:00,161.15,161.35,161.09,161.24,2919.0
2024-08-07 06:30:00,161.32,161.36,161.14,161.14,1775.0
2024-08-07 06:15:00,161.07,161.34,161.07,161.27,2202.0
2024-08-07 06:00:00,160.95,161.06,160.79,161.05,2342.0
2024-08-07 05:45:00,161.15,161.3,160.8,160.96,3193.0
2024-08-07 05:30:00,161.18,161.45,160.95,161.15,8167.0
2024-08-07 05:15:00,160.9,161.19,160.43,161.18,7532.0
2024-08-07 05:00:00,160.8,160.97,160.73,160.9,3512.0
2024-08-07 04:45:00,160.4,160.82,160.4,160.8,6722.0
2024-08-07 04:30:00,160.48,160.71,160.3,160.4,5132.0
2024-08-07 04:15:00,160.55,160.74,160.24,160.48,7810.0
2024-08-07 04:00:00,159.57,160.72,159.0,160.55,12084.0
2024-08-06 19:45:00,157.33,157.96,157.1,157.31,32882.0
2024-08-06 19:30:00,157.7,157.98,157.1,157.36,14516.0
2024-08-06 19:15:00,157.77,157.98,157.41,157.7,5822.0
2024-08-06 19:00:00,157.52,158.17,157.3,157.81,3588.0
2024-08-06 18:45:00,157.69,157.85,157.3,157.51,4302.0
2024-08-06 18:30:00,157.95,157.99,157.5,157.7,2409.0
2024-08-06 18:15:00,157.95,158.7,157.65,157.75,11688.0
2024-08-06 18:00:00,157.19,161.95,157.01,157.95,15507.0
2024-08-06 17:45:00,157.4,157.4,157.0,157.06,4865.0
2024-08-06 17:30:00,157.19,158.29,157.12,157.38,28372.0
2024-08-06 17:15:00,157.48,158.29,157.07,157.22,15975.0
2024-08-06 17:00:00,157.73,163.587,157.27,157.48,7314.0
2024-08-06 16:45:00,158.211,168.885,150.151,157.67,220143.0
2024-08-06 16:30:00,158.32,158.44,158.16,158.21,8211.0
2024-08-06 16:15:00,158.29,162.42,155.11,158.4,107441.0
2024-08-06 16:00:00,158.31,159.495,158.15,158.38,18989899.0
2024-08-06 15:45:00,158.81,159.17,158.095,158.32,5406094.0
2024-08-06 15:30:00,158.79,159.22,158.59,158.805,1080320.0
2024-08-06 15:15:00,159.07,159.3,158.66,158.79,1264202.0
2024-08-06 15:00:00,159.675,159.74,158.81,159.05,1258110.0
2024-08-06 14:45:00,160.22,160.57,159.675,159.68,1056665.0
2024-08-06 14:30:00,159.87,160.22,159.64,160.22,833104.0
2024-08-06 14:15:00,159.28,159.94,159.17,159.87,688379.0
